id,armed_with,city,county,state,age,gender,race,body_camera,age_range,year
126,gun,Lorena,McLennan,TX,51.0,male,B,False,35-54,2015
127,knife,Memphis,Shelby,TN,36.0,male,B,False,35-54,2015
128,replica,Chino,San Bernardino,CA,59.0,male,W,False,55-64,2015
129,gun,Oklahoma City,Oklahoma,OK,25.0,male,B,False,19-25,2015
532,replica,Calimesa,Riverside,CA,26.0,male,W,False,26-34,2015
554,gun,Gastonia,Gaston,NC,74.0,male,B,False,65+,2015
131,gun,Anchorage,Anchorage,AK,33.0,male,W,False,26-34,2015
132,gun,Austin,Travis,TX,27.0,male,W,False,26-34,2015
133,gun,New City,Rockland,NY,57.0,male,W,False,55-64,2015
134,gun,Orange County,Orange,FL,46.0,male,W,False,35-54,2015
135,gun,Nocona,Montague,TX,41.0,male,W,False,35-54,2015
136,gun,Smyrna,Aroostook,ME,61.0,male,W,False,55-64,2015
137,gun,Dallas,Dallas,TX,45.0,male,B,False,35-54,2015
138,unarmed,Pasco,Franklin,WA,35.0,male,H,False,35-54,2015
139,gun,Whitehaven,Shelby,TN,49.0,male,B,False,35-54,2015
140,gun,New Castle,Garfield,CO,45.0,male,W,False,35-54,2015
141,knife,San Jose,Santa Clara,CA,23.0,male,B,False,19-25,2015
142,replica,Dadeville,Tallapoosa,AL,46.0,male,W,True,35-54,2015
145,,San Bernardino,San Bernardino,CA,23.0,male,W,False,19-25,2015
146,gun,Kansas City,Wyandotte,KS,21.0,male,H,False,19-25,2015
147,unarmed,Reading,Berks,PA,35.0,male,H,False,35-54,2015
148,gun,McLemoresville,Carroll,TN,27.0,male,W,False,26-34,2015
154,knife,San Manuel,Pinal,AZ,37.0,male,H,False,35-54,2015
149,gun,Essex,Baltimore,MD,16.0,male,W,False,0-18,2015
155,gun,Laredo,Webb,TX,51.0,male,W,False,35-54,2015
150,unarmed,Miami Gardens,Miami-Dade,FL,25.0,male,B,False,19-25,2015
151,gun,Iuka,Tishomingo,MS,34.0,male,W,False,26-34,2015
153,knife,Colton,Clackamas,OR,34.0,male,W,False,26-34,2015
156,gun,Marana,Pima,AZ,56.0,male,W,False,55-64,2015
157,gun,Boise,Ada,ID,26.0,male,W,False,26-34,2015
158,replica,Provo,Utah,UT,24.0,male,W,False,19-25,2015
130,gun,Gaston County,Gaston,NC,43.0,female,W,False,35-54,2015
159,unarmed,Springfield,Greene,MO,31.0,male,W,False,26-34,2015
160,gun,Eaton Rapids Township,Eaton,MI,32.0,male,W,False,26-34,2015
161,replica,Tewksbury,Middlesex,MA,30.0,male,W,False,26-34,2015
162,,Del Rio,Val Verde,TX,50.0,male,H,False,35-54,2015
163,knife,Charlotte,Mecklenburg,NC,20.0,female,B,False,19-25,2015
165,unarmed,Euless,Tarrant,TX,31.0,male,H,False,26-34,2015
166,gun,Homewood,Jefferson,AL,38.0,male,B,False,35-54,2015
255,gun,Birmingham,Jefferson,AL,77.0,male,B,False,65+,2015
584,gun,Houston,Harris,TX,,male,H,False,Unknown,2015
167,gun,Ruidoso,Lincoln,NM,41.0,male,W,False,35-54,2015
168,knife,Indianapolis,Marion,IN,51.0,male,W,False,35-54,2015
170,gun,Palm Bay,Brevard,FL,50.0,male,W,False,35-54,2015
172,gun,Denham Springs,Livingston,LA,47.0,male,W,False,35-54,2015
174,knife,Powder Springs,Cobb,GA,37.0,male,W,False,35-54,2015
175,gun,Clarkesville,Habersham,GA,41.0,male,W,False,35-54,2015
176,gun,Millbrook,Elmore,AL,16.0,male,B,False,0-18,2015
266,knife,Allentown,Lehigh,PA,42.0,male,W,False,35-54,2015
